bloc;adub;base;pe;bk;prod;icol;m1k
I;NPK;NPK;0;0;4305.56;0.470588;28.4375
I;NPK+Pe;NPK;1;0;4761.11;0.421687;29.7975
I;NPK+Bk;NPK;0;1;3094.44;0.461039;25.605
I;NPK+Pe+Bk;NPK;1;1;5416.61;0.470874;29.645
I;NK;NK;0;0;4005.56;0.472527;27.0075
I;NK+Pe;NK;1;0;4838.89;0.427907;30.1725
I;0;0;0;0;2827.78;0.468966;27.66
I;0+Pe;0;1;0;3766.67;0.428571;27.6425
I;0+Bk;0;0;1;3961.11;0.454054;28.2625
I;0+Pe+Bk;0;1;1;3850;0.452174;28.97
II;NPK;NPK;0;0;4022.22;0.483146;30.6875
II;NPK+Pe;NPK;1;0;3266.67;0.447368;28.4
II;NPK+Bk;NPK;0;1;3788.89;0.434066;29.7675
II;NPK+Pe+Bk;NPK;1;1;3500;0.359551;28.3775
II;NK;NK;0;0;2666.67;0.438503;29.15
II;NK+Pe;NK;1;0;4461.11;0.45;30.1275
II;0;0;0;0;3611.11;0.408805;27.875
II;0+Pe;0;1;0;4961.11;0.427673;27.715
II;0+Bk;0;0;1;4388.89;0.47191;27.8275
II;0+Pe+Bk;0;1;1;3672.22;0.449102;28.545
III;NPK;NPK;0;0;2311.11;0.375;29.6
III;NPK+Pe;NPK;1;0;2327.78;0.450617;26.9225
III;NPK+Bk;NPK;0;1;3238.89;0.45641;27.7575
III;NPK+Pe+Bk;NPK;1;1;3216.67;0.403614;27.205
III;NK;NK;0;0;2927.78;0.458333;25.9625
III;NK+Pe;NK;1;0;3466.67;0.487342;26.925
III;0;0;0;0;1172.22;0.453125;28.5575
III;0+Pe;0;1;0;2183.33;0.436975;27.5575
III;0+Bk;0;0;1;1483.33;0.463415;26.9125
III;0+Pe+Bk;0;1;1;3811.11;0.439306;26.9875
IV;NPK;NPK;0;0;3216.67;0.381356;27.3175
IV;NPK+Pe;NPK;1;0;2222.22;0.445161;25.875
IV;NPK+Bk;NPK;0;1;3561.11;0.462963;27.92
IV;NPK+Pe+Bk;NPK;1;1;2494.44;0.442029;31.55
IV;NK;NK;0;0;4077.78;0.426901;26.935
IV;NK+Pe;NK;1;0;2555.56;0.401709;29.725
IV;0;0;0;0;1888.89;0.438017;27.3425
IV;0+Pe;0;1;0;1838.89;0.460317;30.275
IV;0+Bk;0;0;1;2205.56;0.469388;28.855
IV;0+Pe+Bk;0;1;1;2188.89;0.443787;29.0375
