fonte;modo;bloc;prod
controle;controle;1;51.568
controle;controle;2;48.713
controle;controle;3;46.085
controle;controle;4;44.061
A;lanco;1;61.614
A;lanco;2;59.76
A;lanco;3;67.227
A;lanco;4;63.886
B;lanco;1;55
B;lanco;2;56.311
B;lanco;3;59.037
B;lanco;4;56.685
C;lanco;1;55.65
C;lanco;2;66.488
C;lanco;3;64.33
C;lanco;4;61.576
D;lanco;1;61.719
D;lanco;2;57.272
D;lanco;3;60.148
D;lanco;4;56.355
A;sulco;1;60.927
A;sulco;2;68.679
A;sulco;3;63.321
A;sulco;4;67.593
B;sulco;1;55.461
B;sulco;2;59.483
B;sulco;3;53.93
B;sulco;4;55.735
C;sulco;1;61.696
C;sulco;2;63.479
C;sulco;3;61.202
C;sulco;4;62.893
D;sulco;1;65.255
D;sulco;2;61.439
D;sulco;3;56.969
D;sulco;4;63.056
