loc;longitude;latitude;vol;ima
1;333033.18;8249775.09;0.27;10.03
2;333663.18;8249145.09;0.1;3.57
3;333783.18;8248845.09;0.5;18.42
4;334893.18;8249025.09;0.41;15.09
5;335343.18;8247765.09;0.22;8.02
6;335253.18;8248725.09;0.09;3.22
7;335733.18;8248395.09;0.08;3.07
8;335433.18;8249925.09;0.41;15.05
9;336363.18;8249205.09;0.14;5.28
10;336603.18;8249385.09;0.18;6.53
11;336033.18;8249775.09;0.43;16.02
12;334353.18;8249655.09;0.34;12.75
13;333753.18;8250555.09;0.37;13.79
14;333663.18;8250735.09;0.26;9.57
15;334833.18;8250495.09;0.26;9.45
16;335943.18;8250855.09;0.17;6.35
17;335523.18;8251185.09;0.54;20.15
18;334833.18;8250495.09;0.32;11.69
19;336003.18;8252145.09;0.32;12.01
20;337053.18;8251785.09;0.06;2.39
21;335013.18;8253075.09;0.13;4.98
22;336423.18;8253015.09;0.38;14.19
23;335073.18;8253075.09;0.4;14.77
24;333813.18;8251755.09;0.5;18.4
25;332643.18;8252145.09;0.16;5.89
26;333363.18;8252295.09;0.37;13.67
27;333633.18;8252055.09;0.45;16.56
28;334743.18;8252295.09;0.59;22.01
29;334743.18;8252445.09;0.52;19.21
30;335103.18;8252595.09;0.45;16.69
31;328113.18;8252835.09;0.42;15.48
32;327903.18;8252835.09;0.28;10.43
33;328953.18;8253285.09;0.38;14.18
34;328953.18;8254125.09;0.68;25.1
35;328323.18;8254455.09;0.14;5.01
36;328203.18;8254785.09;0.09;3.5
37;328293.18;8253795.09;0.19;7.05
38;327273.18;8253285.09;0.45;16.75
39;327273.18;8253675.09;0.24;8.71
40;327723.18;8254815.09;0.13;4.97
41;328113.18;8252775.09;0.36;13.3
42;328563.18;8252955.09;0.36;13.49
43;328533.18;8253045.09;0.35;13.12
44;329013.18;8253165.09;0.33;12.08
45;328893.18;8252775.09;0.33;12.4
46;328653.18;8252535.09;0.32;11.71
47;329403.18;8253885.09;0.57;20.99
48;329583.18;8254575.09;0.45;16.74
49;329463.18;8254605.09;0.47;17.36
50;329193.18;8255055.09;0.42;15.63
